"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 03 14:00:16 CET 2024","Sun Mar 03 14:00:18 CET 2024","1979","","pl.damianlegutko.demo.api.test.crud.domain.books.BookGetByIdTest","","pl.damianlegutko.demo.api.test.crud.domain.books.BookGetByIdTest","cannot_get_not_existing_book_by_id","cannot get not existing book by id",""
"passed","Sun Mar 03 14:01:03 CET 2024","Sun Mar 03 14:01:05 CET 2024","1737","","pl.damianlegutko.demo.api.test.crud.domain.books.BookPutTest","","pl.damianlegutko.demo.api.test.crud.domain.books.BookPutTest","update_book_with_a_new_publisher","update book with a new publisher",""
"failed","Sun Mar 03 14:00:32 CET 2024","Sun Mar 03 14:00:32 CET 2024","616","","pl.damianlegutko.demo.api.test.crud.domain.books.BookPostTest","","pl.damianlegutko.demo.api.test.crud.domain.books.BookPostTest","create_new_book_with_null_category","create new book with null category",""
"failed","Sun Mar 03 14:00:24 CET 2024","Sun Mar 03 14:00:26 CET 2024","1925","","pl.damianlegutko.demo.api.test.crud.domain.books.BookGetTest","","pl.damianlegutko.demo.api.test.crud.domain.books.BookGetTest","books_have_positive_price","books have positive price",""
"failed","Sun Mar 03 14:00:37 CET 2024","Sun Mar 03 14:00:38 CET 2024","643","","pl.damianlegutko.demo.api.test.crud.domain.books.BookPostTest","","pl.damianlegutko.demo.api.test.crud.domain.books.BookPostTest","create_new_book_with_price_above_maximum","create new book with price above maximum",""
"failed","Sun Mar 03 14:00:42 CET 2024","Sun Mar 03 14:00:42 CET 2024","622","","pl.damianlegutko.demo.api.test.crud.domain.books.BookPostTest","","pl.damianlegutko.demo.api.test.crud.domain.books.BookPostTest","create_new_book_with_text_fields_contain_polish_chars","create new book with text fields contain polish chars",""
"failed","Sun Mar 03 14:01:14 CET 2024","Sun Mar 03 14:01:15 CET 2024","1191","","pl.damianlegutko.demo.api.test.crud.domain.books.BookPutTest","","pl.damianlegutko.demo.api.test.crud.domain.books.BookPutTest","update_book_with_maximum_number_of_pages","update book with maximum number of pages",""
"failed","Sun Mar 03 14:00:48 CET 2024","Sun Mar 03 14:00:49 CET 2024","1246","","pl.damianlegutko.demo.api.test.crud.domain.books.BookPutTest","","pl.damianlegutko.demo.api.test.crud.domain.books.BookPutTest","update_book_with_number_of_pages_below_minimum","update book with number of pages below minimum",""
"failed","Sun Mar 03 14:00:38 CET 2024","Sun Mar 03 14:00:39 CET 2024","673","","pl.damianlegutko.demo.api.test.crud.domain.books.BookPostTest","","pl.damianlegutko.demo.api.test.crud.domain.books.BookPostTest","create_new_book_with_price_below_minimum","create new book with price below minimum",""
"failed","Sun Mar 03 14:00:30 CET 2024","Sun Mar 03 14:00:30 CET 2024","620","","pl.damianlegutko.demo.api.test.crud.domain.books.BookPostTest","","pl.damianlegutko.demo.api.test.crud.domain.books.BookPostTest","create_new_book_with_null_author","create new book with null author",""
"passed","Sun Mar 03 14:01:00 CET 2024","Sun Mar 03 14:01:02 CET 2024","1717","","pl.damianlegutko.demo.api.test.crud.domain.books.BookPutTest","","pl.damianlegutko.demo.api.test.crud.domain.books.BookPutTest","update_book_with_a_new_name","update book with a new name",""
"passed","Sun Mar 03 14:00:10 CET 2024","Sun Mar 03 14:00:13 CET 2024","3372","","pl.damianlegutko.demo.api.test.crud.domain.books.BookDeleteTest","","pl.damianlegutko.demo.api.test.crud.domain.books.BookDeleteTest","cannot_delete_not_existing_book","cannot delete not existing book",""
"failed","Sun Mar 03 14:00:34 CET 2024","Sun Mar 03 14:00:34 CET 2024","624","","pl.damianlegutko.demo.api.test.crud.domain.books.BookPostTest","","pl.damianlegutko.demo.api.test.crud.domain.books.BookPostTest","create_new_book_with_null_publication","create new book with null publication",""
"passed","Sun Mar 03 14:01:06 CET 2024","Sun Mar 03 14:01:08 CET 2024","1732","","pl.damianlegutko.demo.api.test.crud.domain.books.BookPutTest","","pl.damianlegutko.demo.api.test.crud.domain.books.BookPutTest","update_book_with_text_fields_contain_most_common_special_chars","update book with text fields contain most common special chars",""
"passed","Sun Mar 03 14:00:55 CET 2024","Sun Mar 03 14:00:57 CET 2024","1760","","pl.damianlegutko.demo.api.test.crud.domain.books.BookPutTest","","pl.damianlegutko.demo.api.test.crud.domain.books.BookPutTest","update_book_with_minimum_prices","update book with minimum prices",""
"failed","Sun Mar 03 14:01:15 CET 2024","Sun Mar 03 14:01:17 CET 2024","1223","","pl.damianlegutko.demo.api.test.crud.domain.books.BookPutTest","","pl.damianlegutko.demo.api.test.crud.domain.books.BookPutTest","update_book_with_price_above_maximum","update book with price above maximum",""
"failed","Sun Mar 03 14:01:08 CET 2024","Sun Mar 03 14:01:09 CET 2024","1203","","pl.damianlegutko.demo.api.test.crud.domain.books.BookPutTest","","pl.damianlegutko.demo.api.test.crud.domain.books.BookPutTest","update_book_with_null_category","update book with null category",""
"failed","Sun Mar 03 14:00:34 CET 2024","Sun Mar 03 14:00:35 CET 2024","649","","pl.damianlegutko.demo.api.test.crud.domain.books.BookPostTest","","pl.damianlegutko.demo.api.test.crud.domain.books.BookPostTest","create_new_book_with_number_of_pages_below_minimum","create new book with number of pages below minimum",""
"failed","Sun Mar 03 14:01:22 CET 2024","Sun Mar 03 14:01:23 CET 2024","1227","","pl.damianlegutko.demo.api.test.crud.domain.books.BookPutTest","","pl.damianlegutko.demo.api.test.crud.domain.books.BookPutTest","update_book_with_null_name","update book with null name",""
"passed","Sun Mar 03 14:00:50 CET 2024","Sun Mar 03 14:00:52 CET 2024","1774","","pl.damianlegutko.demo.api.test.crud.domain.books.BookPutTest","","pl.damianlegutko.demo.api.test.crud.domain.books.BookPutTest","update_book_with_a_new_price","update book with a new price",""
"passed","Sun Mar 03 14:00:42 CET 2024","Sun Mar 03 14:00:44 CET 2024","1129","","pl.damianlegutko.demo.api.test.crud.domain.books.BookPostTest","","pl.damianlegutko.demo.api.test.crud.domain.books.BookPostTest","create_new_book_with_text_fields_contain_most_common_special_chars","create new book with text fields contain most common special chars",""
"failed","Sun Mar 03 14:00:31 CET 2024","Sun Mar 03 14:00:32 CET 2024","646","","pl.damianlegutko.demo.api.test.crud.domain.books.BookPostTest","","pl.damianlegutko.demo.api.test.crud.domain.books.BookPostTest","create_new_default_book","create new default book",""
"failed","Sun Mar 03 14:01:25 CET 2024","Sun Mar 03 14:01:26 CET 2024","1197","","pl.damianlegutko.demo.api.test.crud.domain.books.BookPutTest","","pl.damianlegutko.demo.api.test.crud.domain.books.BookPutTest","update_book_with_number_of_pages_above_maximum","update book with number of pages above maximum",""
"failed","Sun Mar 03 14:00:49 CET 2024","Sun Mar 03 14:00:50 CET 2024","1236","","pl.damianlegutko.demo.api.test.crud.domain.books.BookPutTest","","pl.damianlegutko.demo.api.test.crud.domain.books.BookPutTest","update_book_with_incorrect_category","update book with incorrect category",""
"passed","Sun Mar 03 14:00:28 CET 2024","Sun Mar 03 14:00:30 CET 2024","1942","","pl.damianlegutko.demo.api.test.crud.domain.books.BookGetTest","","pl.damianlegutko.demo.api.test.crud.domain.books.BookGetTest","books_have_unique_id","books have unique id",""
"failed","Sun Mar 03 14:01:05 CET 2024","Sun Mar 03 14:01:06 CET 2024","1217","","pl.damianlegutko.demo.api.test.crud.domain.books.BookPutTest","","pl.damianlegutko.demo.api.test.crud.domain.books.BookPutTest","update_book_with_minimum_number_of_pages","update book with minimum number of pages",""
"failed","Sun Mar 03 14:00:44 CET 2024","Sun Mar 03 14:00:46 CET 2024","2153","","pl.damianlegutko.demo.api.test.crud.domain.books.BookPostTest","","pl.damianlegutko.demo.api.test.crud.domain.books.BookPostTest","create_new_book_with_set_not_existing_id","create new book with set not existing id",""
"failed","Sun Mar 03 14:01:23 CET 2024","Sun Mar 03 14:01:25 CET 2024","1232","","pl.damianlegutko.demo.api.test.crud.domain.books.BookPutTest","","pl.damianlegutko.demo.api.test.crud.domain.books.BookPutTest","update_book_with_null_price","update book with null price",""
"failed","Sun Mar 03 14:00:26 CET 2024","Sun Mar 03 14:00:28 CET 2024","1983","","pl.damianlegutko.demo.api.test.crud.domain.books.BookGetTest","","pl.damianlegutko.demo.api.test.crud.domain.books.BookGetTest","books_have_positive_number_of_pages","books have positive number of pages",""
"passed","Sun Mar 03 14:00:54 CET 2024","Sun Mar 03 14:00:55 CET 2024","1753","","pl.damianlegutko.demo.api.test.crud.domain.books.BookPutTest","","pl.damianlegutko.demo.api.test.crud.domain.books.BookPutTest","update_book_with_text_fields_contain_polish_chars","update book with text fields contain polish chars",""
"failed","Sun Mar 03 14:01:21 CET 2024","Sun Mar 03 14:01:22 CET 2024","1225","","pl.damianlegutko.demo.api.test.crud.domain.books.BookPutTest","","pl.damianlegutko.demo.api.test.crud.domain.books.BookPutTest","update_book_with_all_new_changeable_values","update book with all new changeable values",""
"failed","Sun Mar 03 14:00:40 CET 2024","Sun Mar 03 14:00:42 CET 2024","2056","","pl.damianlegutko.demo.api.test.crud.domain.books.BookPostTest","","pl.damianlegutko.demo.api.test.crud.domain.books.BookPostTest","create_new_book_with_set_existing_id","create new book with set existing id",""
"failed","Sun Mar 03 14:00:30 CET 2024","Sun Mar 03 14:00:31 CET 2024","666","","pl.damianlegutko.demo.api.test.crud.domain.books.BookPostTest","","pl.damianlegutko.demo.api.test.crud.domain.books.BookPostTest","create_new_book_with_incorrect_category","create new book with incorrect category",""
"passed","Sun Mar 03 14:01:02 CET 2024","Sun Mar 03 14:01:03 CET 2024","1744","","pl.damianlegutko.demo.api.test.crud.domain.books.BookPutTest","","pl.damianlegutko.demo.api.test.crud.domain.books.BookPutTest","update_new_default_book_without_any_changes","update new default book without any changes",""
"passed","Sun Mar 03 14:00:35 CET 2024","Sun Mar 03 14:00:36 CET 2024","1154","","pl.damianlegutko.demo.api.test.crud.domain.books.BookPostTest","","pl.damianlegutko.demo.api.test.crud.domain.books.BookPostTest","create_new_book_with_minimum_prices","create new book with minimum prices",""
"failed","Sun Mar 03 14:01:18 CET 2024","Sun Mar 03 14:01:20 CET 2024","1218","","pl.damianlegutko.demo.api.test.crud.domain.books.BookPutTest","","pl.damianlegutko.demo.api.test.crud.domain.books.BookPutTest","update_book_with_a_new_amount_of_pages","update book with a new amount of pages",""
"failed","Sun Mar 03 14:01:13 CET 2024","Sun Mar 03 14:01:14 CET 2024","1209","","pl.damianlegutko.demo.api.test.crud.domain.books.BookPutTest","","pl.damianlegutko.demo.api.test.crud.domain.books.BookPutTest","update_book_with_null_publication","update book with null publication",""
"passed","Sun Mar 03 14:01:17 CET 2024","Sun Mar 03 14:01:18 CET 2024","1739","","pl.damianlegutko.demo.api.test.crud.domain.books.BookPutTest","","pl.damianlegutko.demo.api.test.crud.domain.books.BookPutTest","update_book_with_maximum_price","update book with maximum price",""
"passed","Sun Mar 03 14:00:52 CET 2024","Sun Mar 03 14:00:54 CET 2024","1779","","pl.damianlegutko.demo.api.test.crud.domain.books.BookPutTest","","pl.damianlegutko.demo.api.test.crud.domain.books.BookPutTest","update_book_with_a_new_author","update book with a new author",""
"failed","Sun Mar 03 14:00:57 CET 2024","Sun Mar 03 14:01:00 CET 2024","2620","","pl.damianlegutko.demo.api.test.crud.domain.books.BookPutTest","","pl.damianlegutko.demo.api.test.crud.domain.books.BookPutTest","update_not_existing_book","update not existing book",""
"failed","Sun Mar 03 14:01:09 CET 2024","Sun Mar 03 14:01:12 CET 2024","2584","","pl.damianlegutko.demo.api.test.crud.domain.books.BookPutTest","","pl.damianlegutko.demo.api.test.crud.domain.books.BookPutTest","update_existing_book_with_not_existing_id","update existing book with not existing id",""
"failed","Sun Mar 03 14:00:44 CET 2024","Sun Mar 03 14:00:44 CET 2024","664","","pl.damianlegutko.demo.api.test.crud.domain.books.BookPostTest","","pl.damianlegutko.demo.api.test.crud.domain.books.BookPostTest","create_new_book_with_null_price","create new book with null price",""
"failed","Sun Mar 03 14:00:33 CET 2024","Sun Mar 03 14:00:34 CET 2024","643","","pl.damianlegutko.demo.api.test.crud.domain.books.BookPostTest","","pl.damianlegutko.demo.api.test.crud.domain.books.BookPostTest","create_new_book_with_number_of_pages_above_maximum","create new book with number of pages above maximum",""
"passed","Sun Mar 03 14:00:22 CET 2024","Sun Mar 03 14:00:24 CET 2024","2021","","pl.damianlegutko.demo.api.test.crud.domain.books.BookGetTest","","pl.damianlegutko.demo.api.test.crud.domain.books.BookGetTest","get_all_books","get all books",""
"passed","Sun Mar 03 14:00:36 CET 2024","Sun Mar 03 14:00:37 CET 2024","1157","","pl.damianlegutko.demo.api.test.crud.domain.books.BookPostTest","","pl.damianlegutko.demo.api.test.crud.domain.books.BookPostTest","create_new_book_with_minimum_number_of_pages","create new book with minimum number of pages",""
"passed","Sun Mar 03 14:00:39 CET 2024","Sun Mar 03 14:00:40 CET 2024","1148","","pl.damianlegutko.demo.api.test.crud.domain.books.BookPostTest","","pl.damianlegutko.demo.api.test.crud.domain.books.BookPostTest","create_new_book_with_maximum_price","create new book with maximum price",""
"failed","Sun Mar 03 14:01:12 CET 2024","Sun Mar 03 14:01:13 CET 2024","1222","","pl.damianlegutko.demo.api.test.crud.domain.books.BookPutTest","","pl.damianlegutko.demo.api.test.crud.domain.books.BookPutTest","update_book_with_null_author","update book with null author",""
"failed","Sun Mar 03 14:01:20 CET 2024","Sun Mar 03 14:01:21 CET 2024","1217","","pl.damianlegutko.demo.api.test.crud.domain.books.BookPutTest","","pl.damianlegutko.demo.api.test.crud.domain.books.BookPutTest","update_book_with_price_below_minimum","update book with price below minimum",""
"failed","Sun Mar 03 14:00:32 CET 2024","Sun Mar 03 14:00:33 CET 2024","652","","pl.damianlegutko.demo.api.test.crud.domain.books.BookPostTest","","pl.damianlegutko.demo.api.test.crud.domain.books.BookPostTest","create_new_book_with_null_name","create new book with null name",""
"passed","Sun Mar 03 14:00:18 CET 2024","Sun Mar 03 14:00:20 CET 2024","1846","","pl.damianlegutko.demo.api.test.crud.domain.books.BookGetByIdTest","","pl.damianlegutko.demo.api.test.crud.domain.books.BookGetByIdTest","get_existing_book_by_id","get existing book by id",""
"passed","Sun Mar 03 14:00:46 CET 2024","Sun Mar 03 14:00:48 CET 2024","1128","","pl.damianlegutko.demo.api.test.crud.domain.books.BookPostTest","","pl.damianlegutko.demo.api.test.crud.domain.books.BookPostTest","create_new_book_with_maximum_number_of_pages","create new book with maximum number of pages",""
"passed","Sun Mar 03 14:00:13 CET 2024","Sun Mar 03 14:00:16 CET 2024","2538","","pl.damianlegutko.demo.api.test.crud.domain.books.BookDeleteTest","","pl.damianlegutko.demo.api.test.crud.domain.books.BookDeleteTest","delete_existing_book","delete existing book",""
"failed","Sun Mar 03 14:00:20 CET 2024","Sun Mar 03 14:00:22 CET 2024","2266","","pl.damianlegutko.demo.api.test.crud.domain.books.BookGetTest","","pl.damianlegutko.demo.api.test.crud.domain.books.BookGetTest","books_have_validate_categories","books have validate categories",""
